lane_code,product,category,crates_per_day,units_per_crate,daily_avg_units,max_stack,demand_source,divergence_flag,lane_of_product
K1-16,Buffin Muffin - Buffcoff,muffin,5,24,203.4,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-17,Buffin Muffin - Buffcoff,muffin,5,24,203.4,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-18,Buffin Muffin - ChocoLIT,muffin,6,24,235.9,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-19,Buffin Muffin - ChocoLIT,muffin,6,24,235.9,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-20,Buffin Muffin - Cinna Blast,muffin,6,24,217.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-21,Buffin Muffin - Cinna Blast,muffin,5,24,217.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-22,Buffin Muffin - Cookie Butter Tres Leches,muffin,6,24,222.9,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-23,Buffin Muffin - Cookie Butter Tres Leches,muffin,5,24,222.9,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-24,Buffin Muffin - Cookies and Cream Crunch,muffin,4,24,78.1,7,"real (Shopify Online Store, 7-day avg -- no 90d history, likely new item)",False,
K1-25,Buffin Muffin - Double Chocolate Brownie,muffin,6,24,231.4,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-26,Buffin Muffin - Double Chocolate Brownie,muffin,6,24,231.4,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-27,Buffin Muffin - German Chocolate Cake,muffin,5,24,195.6,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-28,Buffin Muffin - German Chocolate Cake,muffin,5,24,195.6,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-29,Buffin Muffin - Gluten Free Confetti Pop,muffin,3,24,50.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K1-30,Buffin Muffin - Gluten Free Cookies and Milk,muffin,4,24,158.0,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-31,Buffin Muffin - Gluten Free Cookies and Milk,muffin,4,24,158.0,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-32,Buffin Muffin - Strawberry Buff Blast,muffin,7,24,285.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-33,Buffin Muffin - Strawberry Buff Blast,muffin,7,24,285.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-34,Buffin Muffin - Strawberry Crunch Milkshake,muffin,5,24,83.9,7,"real (Shopify Online Store, 90-day trailing avg)",True,
K1-35,Buffin Muffin - TwistBar,muffin,7,24,284.6,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K2-01,Buffin Muffin - TwistBar,muffin,7,24,284.6,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K2-02,Buffin Muffin - Welcome to the Sno,muffin,6,24,120.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-03,3 Banana Chocolate Protein Poppers,snack,4,24,73.0,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-04,Overnight Oats - Banana Chocolate Chip,oats,2,28,34.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-05,Overnight Oats - Blueberry Muffin,oats,3,28,50.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-06,Overnight Oats - Cannoli,oats,2,28,25.9,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-07,Buff Crisp Bar - Chocolate,snack,1,48,20.3,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-08,Overnight Oats - Chocolate Peanut Butter,oats,2,28,44.7,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-09,Buff Crisp Bar - Cinna Crunch,snack,2,48,81.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-10,Overnight Oats - Cookie Creme,oats,2,28,44.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,
K2-11,Overnight Oats - Cookie Dough,oats,2,28,35.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
